"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1879999997","234999999","86.1512303070941"
"hipModuleLaunchKernel","30007","187659177","6253","8.59950478870492"
"hipDeviceSynchronize","2","71506250","35753125","3.27678267126436"
"hipMalloc","10","16337154","1633715","0.74865208460767"
"hipSetDevice","20023","7133572","356","0.326896811311132"
"hipGetDevice","20030","7082988","353","0.324578793310702"
"hipModuleGetFunction","9","4970326","552258","0.227765798197146"
"hiprtcCreateProgram","8","4268086","533510","0.195585564118745"
"hipMemcpy","5","1344950","268990","0.0616324986097998"
"hipModuleLoadData","9","635640","70626","0.0291282809147798"
"hipStreamSynchronize","4","453100","113275","0.0207633630395928"
"hipModuleUnload","9","397000","44111","0.0181925736630288"
"hiprtcDestroyProgram","8","232351","29043","0.010647513055865"
"hipStreamDestroy","1","112000","112000","0.00513241372861265"
"hipFree","10","49680","4968","0.00227659208962032"
"hiprtcGetCode","8","9790","1223","0.000448627950027838"
"hipStreamCreate","1","7190","7190","0.000329482631327901"
"hipGetDeviceProperties","3","5530","1843","0.000253412927850249"
"hiprtcGetCodeSize","8","3360","420","0.000153972411858379"
"hipGetDeviceCount","1","970","970","4.44503688995917e-05"
"Total","70164","2182209111","31101","100.0"
