Stage,Length,Factors,WGS,TPT,GPU_Time_ms
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 4]",256,64,25.83466
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",256,64,26.22268
N=262144_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",256,64,26.531801
N=262144_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",512,128,26.788962
N=262144_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,128,26.887708
N=262144_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",512,128,26.958363
N=262144_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",256,64,27.298569
N=262144_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",256,64,27.515261
N=262144_Stage2_256_sbcc,256,"[8, 4, 4, 2]",256,64,27.640364
N=262144_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",256,64,27.66831
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",256,64,27.769825
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",128,32,27.899301
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",512,128,27.907699
N=262144_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,64,28.150272
N=262144_Stage2_256_sbcc,256,"[16, 4, 4]",128,32,28.228247
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",128,32,28.626499
N=262144_Stage2_256_sbcc,256,"[16, 4, 2, 2]",128,32,28.635644
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",256,64,28.63798
N=262144_Stage2_256_sbcc,256,"[16, 8, 2]",128,32,28.943448
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",512,64,29.075837
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",1024,64,29.079574
N=262144_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",128,32,29.121852
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",512,64,29.191404
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",1024,64,29.200086
N=262144_Stage2_256_sbcc,256,"[8, 4, 4, 2]",128,32,29.277119
N=262144_Stage2_256_sbcc,256,"[8, 4, 4, 2]",1024,64,29.309261
N=262144_Stage2_256_sbcc,256,"[8, 4, 4, 2]",512,64,29.318447
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 4]",128,32,29.339497
N=262144_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",1024,128,29.351542
N=262144_Stage2_256_sbcc,256,"[16, 16]",64,16,29.363323
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 4]",1024,64,29.367949
N=262144_Stage2_256_sbcc,256,"[16, 4, 4]",64,16,29.374582
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 4]",512,64,29.403302
N=262144_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",1024,128,29.531176
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",64,16,29.537407
N=262144_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",1024,64,29.551558
N=262144_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",512,64,29.561297
N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,64,29.590844
N=262144_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",512,64,29.59594
N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,64,29.597217
N=262144_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",1024,64,29.616728
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,128,29.631992
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",1024,128,29.639326
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,64,29.661274
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",1024,128,29.663618
N=262144_Stage2_256_sbcc,256,"[16, 8, 2]",64,16,29.668985
N=262144_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",1024,128,29.684005
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,64,29.703285
N=262144_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",1024,128,29.70771
N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",256,64,29.725962
N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,64,29.731281
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",512,32,29.735386
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",1024,32,29.740782
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",256,32,29.745279
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 4]",64,16,29.749369
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",1024,128,29.769589
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,128,29.788037
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",512,64,29.813946
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",1024,64,29.814457
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",1024,32,29.853439
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",256,32,29.855982
N=262144_Stage2_256_sbcc,256,"[8, 8, 4]",512,32,29.865076
N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",256,64,29.887526
N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",512,64,29.903909
N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",512,64,29.932929
N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",256,64,29.969858
N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",256,64,29.996351
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,64,29.99964
N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",512,64,29.999788
N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",256,64,30.005143
N=262144_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",1024,64,30.030161
N=262144_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",512,64,30.030747
N=262144_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",128,32,30.038768
N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",1024,128,30.074616
N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,128,30.079129
N=262144_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",128,32,30.091701
N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",1024,128,30.110198
N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,128,30.123352
N=262144_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",1024,64,30.150564
N=262144_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",512,64,30.15642
N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,64,30.188751
N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,64,30.205217
N=262144_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,128,30.260862
N=262144_Stage2_256_sbcc,256,"[8, 8, 2, 2]",64,16,30.266083
N=262144_Stage2_256_sbcc,256,"[16, 4, 2, 2]",64,16,30.287562
N=262144_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,128,30.298776
N=262144_Stage2_256_sbcc,256,"[8, 4, 4, 2]",256,32,30.301038
N=262144_Stage2_256_sbcc,256,"[8, 4, 4, 2]",1024,32,30.301719
N=262144_Stage2_256_sbcc,256,"[8, 4, 4, 2]",512,32,30.305883
N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,128,30.334255
N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,128,30.35868
N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,64,30.366234
