Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",128,32,123.508599
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",128,64,123.32371
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",128,128,124.25086
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",256,32,123.488372
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",256,64,123.347879
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",256,128,123.031215
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",256,256,124.454316
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",512,64,123.383083
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",512,128,123.024854
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",512,256,123.203289
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",512,512,126.148378
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",1024,128,122.973088
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",1024,256,123.509468
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",1024,512,125.576407
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",64,16,192.641725
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",64,32,123.659944
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",64,64,124.28502
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",128,16,192.627336
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",128,32,124.009583
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",128,64,123.462713
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",128,128,124.702699
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",256,32,124.01544
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",256,64,123.447695
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",256,128,123.097803
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",256,256,124.413541
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,64,123.466131
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,128,123.532441
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,256,123.489566
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,512,126.178262
d2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",1024,128,123.506746
