"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"fft_rtc_fwd_len_128_factors_16_8_wgs_256_tpt_16_dp_op_CI_CI_sbcc_twdbase5_3step_dirReg_intrinsicReadWrite","2","44640","22320","30.359"
"twiddle_gen_radices_dp","2","42879","21439","29.162"
"fft_rtc_fwd_len_256_factors_8_2_2_2_2_2_wgs_64_tpt_64_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","2","22880","11440","15.561"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","2","16799","8399","11.425"
"twiddle_gen_N_dp","1","13120","13120","8.923"
"twiddle_gen_large_dp","1","6720","6720","4.57"
"Total","10","147038","14703","100.0"
