Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",256,64,3.833501
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",512,128,3.835355
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",256,64,3.842309
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",256,64,3.860562
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",256,64,3.86224
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",256,64,3.8663
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",256,64,3.8678
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",256,64,3.876076
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",256,64,3.876425
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",512,128,3.876671
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",256,64,3.877108
z2z,N=65536_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",256,64,3.892628
z2z,N=65536_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",512,128,3.896671
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",512,128,3.896994
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",512,128,3.904212
z2z,N=65536_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",256,64,3.906997
z2z,N=65536_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",512,128,3.909442
z2z,N=65536_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",256,64,3.914127
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",256,64,3.917189
z2z,N=65536_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,128,3.922708
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",512,128,3.930751
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",512,128,3.936891
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",128,32,3.939442
z2z,N=65536_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",512,128,3.944031
z2z,N=65536_Stage2_256_sbcc,256,"[16, 16]",64,16,3.945862
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",512,128,3.953445
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",512,128,3.974248
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",128,32,4.000395
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",512,128,4.001863
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",128,32,4.009748
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",128,32,4.018443
z2z,N=65536_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,64,4.019623
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",128,32,4.021532
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",512,64,4.034171
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",64,16,4.037267
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",1024,64,4.037881
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",64,16,4.046816
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",128,32,4.048833
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",64,16,4.05607
z2z,N=65536_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",128,32,4.056771
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",512,128,4.074982
z2z,N=65536_Stage2_256_sbcc,256,"[16, 16]",128,32,4.075376
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",1024,128,4.079362
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",128,32,4.080113
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",512,64,4.084846
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",1024,64,4.086737
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",128,32,4.117692
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",1024,64,4.118699
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",512,64,4.119259
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",128,32,4.1207
z2z,N=65536_Stage1_256_sbrc,256,"[16, 8, 2]",128,32,4.127501
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",512,64,4.132341
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",1024,64,4.13415
z2z,N=65536_Stage1_256_sbrc,256,"[16, 16]",64,16,4.147652
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",256,32,4.151696
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",1024,32,4.152358
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 4]",512,32,4.152411
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",128,32,4.158287
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",128,32,4.165799
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",256,128,4.180156
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",1024,128,4.180592
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",64,16,4.183332
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",1024,128,4.185691
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",256,64,4.185953
z2z,N=65536_Stage1_256_sbrc,256,"[16, 8, 2]",64,16,4.190866
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",64,16,4.193552
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",512,64,4.202723
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",128,32,4.204642
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",1024,64,4.204809
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",1024,32,4.20494
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",256,32,4.205252
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",512,32,4.205471
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",64,16,4.206405
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",64,16,4.207811
z2z,N=65536_Stage2_256_sbcc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,128,4.211885
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 2, 2]",128,32,4.214321
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",256,64,4.215572
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",64,16,4.215811
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",128,64,4.220831
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",1024,64,4.224081
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",512,64,4.22435
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",256,64,4.226394
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",64,16,4.22822
z2z,N=65536_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",128,32,4.230939
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",1024,64,4.231399
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",512,64,4.231515
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",128,32,4.238679
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",64,16,4.239286
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",1024,32,4.242132
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",256,32,4.242909
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",512,32,4.243348
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",1024,64,4.243419
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",512,64,4.243769
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",256,64,4.251858
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",512,32,4.252808
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",1024,64,4.253202
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",128,32,4.254327
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",256,128,4.254417
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",256,32,4.257457
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",512,32,4.258638
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",512,64,4.263567
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",256,32,4.264482
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",128,32,4.270407
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",1024,64,4.274343
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",512,64,4.276997
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",256,64,4.27769
z2z,N=65536_Stage2_256_sbcc,256,"[16, 16]",1024,16,4.280844
z2z,N=65536_Stage2_256_sbcc,256,"[16, 16]",128,16,4.281878
z2z,N=65536_Stage2_256_sbcc,256,"[16, 16]",512,16,4.282162
z2z,N=65536_Stage2_256_sbcc,256,"[16, 16]",256,16,4.287928
z2z,N=65536_Stage1_256_sbrc,256,"[16, 16]",128,16,4.290736
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",256,128,4.292476
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",128,64,4.294558
z2z,N=65536_Stage1_256_sbrc,256,"[16, 16]",256,16,4.294884
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",64,16,4.296219
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",64,16,4.301318
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 2, 2, 2]",256,64,4.306437
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",256,32,4.308457
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",256,128,4.308599
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",256,64,4.309434
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",512,32,4.310243
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",128,32,4.310663
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",512,32,4.310811
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",256,32,4.311073
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",256,32,4.312107
z2z,N=65536_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",256,128,4.313269
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",512,128,4.313935
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",512,32,4.316024
z2z,N=65536_Stage2_256_sbcc,256,"[16, 8, 2]",128,64,4.318801
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",128,16,4.321084
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",1024,64,4.321253
z2z,N=65536_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",256,128,4.321667
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",512,64,4.322608
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 4]",256,16,4.324038
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",256,32,4.32505
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",64,16,4.326456
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",512,32,4.328508
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",128,64,4.329558
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 4]",1024,32,4.32985
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",128,64,4.330039
z2z,N=65536_Stage2_256_sbcc,256,"[16, 16]",256,64,4.330693
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 2, 2, 2, 2]",128,64,4.331086
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",64,16,4.332625
z2z,N=65536_Stage1_256_sbrc,256,"[16, 2, 2, 2, 2]",128,32,4.334537
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 2, 2, 2]",64,16,4.338081
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 4]",256,128,4.343703
z2z,N=65536_Stage1_256_sbrc,256,"[4, 2, 2, 2, 2, 2, 2]",256,128,4.34379
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 2, 2]",64,16,4.345307
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",256,128,4.349095
z2z,N=65536_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",256,128,4.350657
z2z,N=65536_Stage2_256_sbcc,256,"[16, 4, 2, 2]",256,128,4.353544
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",128,16,4.355274
z2z,N=65536_Stage2_256_sbcc,256,"[8, 2, 2, 2, 2, 2]",1024,128,4.355762
z2z,N=65536_Stage2_256_sbcc,256,"[4, 4, 4, 2, 2]",1024,128,4.3575
z2z,N=65536_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",64,16,4.358489
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 4]",256,16,4.360697
z2z,N=65536_Stage1_256_sbrc,256,"[8, 8, 2, 2]",256,64,4.361878
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",128,64,4.364931
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",512,128,4.366299
z2z,N=65536_Stage2_256_sbcc,256,"[16, 2, 2, 2, 2]",128,64,4.368294
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",64,32,4.370271
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 2, 2, 2]",64,32,4.370532
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",1024,64,4.375073
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 4]",512,64,4.376208
z2z,N=65536_Stage2_256_sbcc,256,"[4, 2, 2, 2, 2, 2, 2]",128,64,4.376378
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 4, 2]",64,32,4.376972
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",512,64,4.378504
z2z,N=65536_Stage1_256_sbrc,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,64,4.378767
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 2, 2, 2, 2]",128,32,4.379131
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",256,32,4.380771
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",1024,64,4.380833
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 2, 2]",512,32,4.382591
z2z,N=65536_Stage1_256_sbrc,256,"[4, 4, 4, 2, 2]",512,32,4.383318
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",1024,32,4.384897
z2z,N=65536_Stage1_256_sbrc,256,"[16, 4, 2, 2]",256,32,4.385237
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",256,32,4.386846
z2z,N=65536_Stage1_256_sbrc,256,"[8, 4, 2, 2, 2]",128,32,4.388037
z2z,N=65536_Stage2_256_sbcc,256,"[8, 4, 4, 2]",512,32,4.388578
z2z,N=65536_Stage1_256_sbrc,256,"[16, 16]",128,32,4.388787
z2z,N=65536_Stage1_256_sbrc,256,"[4, 2, 2, 2, 2, 2, 2]",128,64,4.390038
z2z,N=65536_Stage2_256_sbcc,256,"[8, 8, 2, 2]",256,32,4.390983
z2z,N=65536_Stage1_256_sbrc,256,"[4, 2, 2, 2, 2, 2, 2]",64,32,4.391486
