"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipModuleLoadData","30","29764437","992147","23.2239808410121"
"hipEventSynchronize","1","24481251","24481251","19.101725464789"
"hipModuleGetFunction","30","23595061","786502","18.4102674143143"
"hipMalloc","25","22153899","886155","17.2857872611438"
"hipModuleLaunchKernel","507","12152621","23969","9.48219639672946"
"hipFree","25","6906506","276260","5.38886601558548"
"hipMemcpy","21","6299985","299999","4.91562232266189"
"hipModuleUnload","30","1746311","58210","1.36257551945124"
"hipDeviceSynchronize","1","317090","317090","0.247412443409446"
"hipGetDevice","701","250020","356","0.195080447510895"
"hipStreamSynchronize","2","209310","104655","0.163316088586935"
"hipStreamDestroy","1","125850","125850","0.0981956416256545"
"hipSetDevice","276","109420","396","0.0853759801881535"
"hipEventRecord","2","19660","9830","0.0153398992003208"
"hipGetDeviceProperties","5","10560","2112","0.00823953893974502"
"hipEventElapsedTime","1","9070","9070","0.00707695247949691"
"hipStreamCreate","1","4510","4510","0.0035189697555161"
"hipEventDestroy","2","4470","2235","0.00348775938074434"
"hipEventCreate","2","2480","1240","0.00193504323584921"
"Total","1663","128162511","77067","100.0"
