"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","10","16166254","1616625","46.6259706729387"
"hipModuleLaunchKernel","10","7920757","792075","22.8446852059527"
"hipModuleGetFunction","9","5303864","589318","15.2971620585236"
"hipModuleLoadData","9","3031521","336835","8.74337426842345"
"hipMemcpy","5","1345402","269080","3.88034693722572"
"hipStreamSynchronize","4","393011","98252","1.13350435791386"
"hipModuleUnload","9","269560","29951","0.777452627838047"
"hipDeviceSynchronize","2","94710","47355","0.2731582519014"
"hipStreamDestroy","1","74640","74640","0.215273275492773"
"hipFree","10","34150","3415","0.0984938686773606"
"hipGetDevice","35","16160","461","0.0466079331720687"
"hipSetDevice","23","12700","552","0.0366287593617124"
"hipStreamCreate","1","4910","4910","0.0141611975170085"
"hipGetDeviceProperties","2","4570","2285","0.0131805850616556"
"Total","130","34672209","266709","100.0"
