Stage,Length,Factors,WGS,TPT,GPU_Time_ms
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",128,16,6.410964
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",128,64,6.411459
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",1024,32,6.420447
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",512,32,6.421947
Stage2_128,128,"[8, 4, 2, 2]",256,16,6.422103
Stage2_128,128,"[8, 2, 2, 2, 2]",64,32,6.428111
Stage2_128,128,"[8, 4, 2, 2]",512,16,6.429652
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",128,64,6.438938
Stage2_128,128,"[8, 4, 2, 2]",64,32,6.44168
Stage2_128,128,"[8, 8, 2]",256,64,6.487037
Stage2_128,128,"[16, 2, 2, 2]",512,32,6.495411
Stage2_128,128,"[16, 2, 2, 2]",1024,32,6.495557
Stage2_128,128,"[8, 2, 2, 2, 2]",256,16,6.499297
Stage2_128,128,"[8, 2, 2, 2, 2]",512,16,6.502105
Stage2_128,128,"[8, 2, 2, 2, 2]",128,64,6.505349
Stage2_128,128,"[4, 4, 2, 2, 2]",64,32,6.523139
Stage2_128,128,"[4, 4, 2, 2, 2]",128,64,6.524225
Stage2_128,128,"[4, 4, 4, 2]",64,32,6.53876
Stage2_128,128,"[16, 4, 2]",256,16,6.551035
Stage2_128,128,"[4, 4, 2, 2, 2]",512,16,6.56711
Stage2_128,128,"[16, 4, 2]",512,16,6.569362
Stage2_128,128,"[4, 4, 2, 2, 2]",256,16,6.575455
Stage2_128,128,"[16, 4, 2]",64,32,6.577361
Stage2_128,128,"[16, 2, 2, 2]",256,16,6.618043
Stage2_128,128,"[8, 4, 2, 2]",1024,64,6.630055
Stage2_128,128,"[16, 2, 2, 2]",64,32,6.631572
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",64,32,6.632125
Stage2_128,128,"[16, 2, 2, 2]",512,16,6.646698
Stage2_128,128,"[16, 2, 2, 2]",256,64,6.656238
Stage2_128,128,"[8, 4, 2, 2]",128,64,6.66367
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",64,32,6.678956
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",256,16,6.682552
Stage2_128,128,"[8, 8, 2]",1024,64,6.685043
Stage2_128,128,"[8, 8, 2]",512,64,6.68741
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",512,16,6.687598
Stage2_128,128,"[4, 4, 4, 2]",128,64,6.746957
Stage2_128,128,"[8, 8, 2]",64,32,6.850213
