Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=524288_Stage2_512_sbrr,512,"[16, 8, 4]",128,64,25.414871
z2z,N=524288_Stage2_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,128,25.415487
z2z,N=524288_Stage2_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,25.415647
z2z,N=524288_Stage2_512_sbrr,512,"[16, 4, 4, 2]",512,256,25.416104
z2z,N=524288_Stage2_512_sbrr,512,"[16, 16, 2]",512,128,25.416779
z2z,N=524288_Stage2_512_sbrr,512,"[8, 8, 2, 2, 2]",64,64,25.416802
z2z,N=524288_Stage2_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,256,25.416849
z2z,N=524288_Stage2_512_sbrr,512,"[8, 4, 4, 4]",256,64,25.416996
z2z,N=524288_Stage2_512_sbrr,512,"[8, 8, 4, 2]",1024,1024,25.417
z2z,N=524288_Stage2_512_sbrr,512,"[8, 4, 4, 4]",512,128,25.417016
z2z,N=524288_Stage2_512_sbrr,512,"[16, 16, 2]",256,256,25.417048
z2z,N=524288_Stage2_512_sbrr,512,"[4, 4, 4, 2, 2, 2]",256,256,25.417253
z2z,N=524288_Stage2_512_sbrr,512,"[16, 4, 2, 2, 2]",64,32,25.417638
z2z,N=524288_Stage2_512_sbrr,512,"[16, 4, 4, 2]",128,16,25.417821
z2z,N=524288_Stage2_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,128,25.417959
z2z,N=524288_Stage2_512_sbrr,512,"[16, 8, 2, 2]",64,64,25.4181
z2z,N=524288_Stage2_512_sbrr,512,"[8, 4, 4, 4]",1024,128,25.418309
z2z,N=524288_Stage2_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",256,128,25.418468
z2z,N=524288_Stage2_512_sbrr,512,"[8, 8, 2, 2, 2]",256,64,25.418468
z2z,N=524288_Stage2_512_sbrr,512,"[16, 2, 2, 2, 2, 2]",512,128,25.41859
z2z,N=524288_Stage2_512_sbrr,512,"[16, 8, 4]",64,32,25.418632
z2z,N=524288_Stage2_512_sbrr,512,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",128,128,25.418847
z2z,N=524288_Stage2_512_sbrr,512,"[16, 4, 4, 2]",128,64,25.418925
z2z,N=524288_Stage2_512_sbrr,512,"[4, 4, 4, 4, 2]",256,64,25.41907
z2z,N=524288_Stage2_512_sbrr,512,"[16, 4, 2, 2, 2]",1024,512,25.41909
z2z,N=524288_Stage2_512_sbrr,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,64,25.419102
z2z,N=524288_Stage2_512_sbrr,512,"[8, 4, 4, 2, 2]",256,256,25.419175
