"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1763744560","220468070","97.9446274717179"
"hipMalloc","10","15374512","1537451","0.853780578293864"
"hipModuleLaunchKernel","10","7588696","758869","0.421417034854591"
"hiprtcCreateProgram","8","6303245","787905","0.350033104220017"
"hipModuleGetFunction","9","4653944","517104","0.25844378017769"
"hipMemcpy","5","1185632","237126","0.0658407612939982"
"hipModuleLoadData","9","686521","76280","0.0381240260758118"
"hipStreamSynchronize","4","380571","95142","0.021133947435982"
"hipModuleUnload","9","290000","32222","0.0161043399429667"
"hiprtcDestroyProgram","8","281440","35180","0.0156289842536157"
"hipDeviceSynchronize","2","101830","50915","0.0056548446082493"
"hipStreamDestroy","1","58460","58460","0.00324641280367528"
"hipFree","10","38910","3891","0.00216075816269253"
"hipGetDevice","32","17460","545","0.000969592328979994"
"hipGetDeviceProperties","3","16630","5543","0.000923500597419089"
"hipSetDevice","25","12580","503","0.000698595160284555"
"hiprtcGetCode","8","10400","1300","0.000577534949678805"
"hipStreamCreate","1","6720","6720","0.000373176429023228"
"hiprtcGetCodeSize","8","3670","458","0.000203803198588578"
"hipGetDeviceCount","1","1040","1040","5.77534949678805e-05"
"Total","171","1800756821","10530741","100.0"
