Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,16,29.932055
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,32,27.761019
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,64,31.023068
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,16,29.933109
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,32,28.275665
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,64,28.11243
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,128,32.47566
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,32,28.271306
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,64,27.672815
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,128,28.134568
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,256,31.672924
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,64,27.674476
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,128,29.517671
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,256,29.209963
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,512,36.529644
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,128,29.528796
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,256,31.133687
d2z,N=524288_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,512,37.311104
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,16,30.077048
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,32,28.067681
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,64,30.473499
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,16,30.075723
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,32,28.124346
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,64,28.171031
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,128,30.687257
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,32,28.1289
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,64,27.717627
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,128,27.837288
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,256,30.989767
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,64,27.715592
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,128,27.755604
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,256,28.600275
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,512,34.668737
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",1024,128,27.753051
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",1024,256,28.840256
d2z,N=524288_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",1024,512,33.131149
d2z,N=524288_Stage1_512_sbrc,512,"[16, 4, 4, 2]",64,16,30.075365
d2z,N=524288_Stage1_512_sbrc,512,"[16, 4, 4, 2]",64,32,27.821805
