Stage,Length,Factors,WGS,TPT,GPU_Time_ms
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",1024,32,53.261941
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",128,32,53.266137
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 2, 2, 2, 2]",1024,1024,53.294375
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 4, 2, 2]",1024,1024,53.449719
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",128,32,53.453073
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",1024,16,53.531516
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",512,16,53.538698
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 4, 2, 2]",512,512,53.755641
N=524288_Stage2_64_sbcc,64,"[16, 4]",256,16,53.864159
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 8]",512,512,54.087877
N=524288_Stage2_64_sbcc,64,"[16, 4]",128,16,54.118948
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 4, 4, 2]",512,512,54.278339
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",512,32,54.325642
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",256,32,54.399786
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 2, 2, 2]",512,512,54.607428
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",128,16,54.665121
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 4, 4]",512,512,54.69637
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 4, 2, 2, 2]",512,512,55.040821
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 2, 2, 2, 2]",512,512,55.633072
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 16]",256,256,55.713065
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",512,16,55.721361
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",1024,16,55.742369
N=524288_Stage2_64_sbcc,64,"[8, 8]",256,16,55.743608
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",128,32,55.776004
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 4, 4]",1024,1024,55.845643
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",1024,32,56.16215
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 4]",256,256,56.528939
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 4]",512,512,56.574649
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 4, 2, 2]",256,256,56.702461
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 4, 2, 2, 2]",1024,1024,57.110919
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",256,16,57.253372
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 4]",512,512,57.301523
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 8, 2]",256,256,57.334751
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 4, 4, 2]",1024,1024,57.434914
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 2, 2]",512,512,57.553618
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 4, 4, 2]",512,512,57.619416
N=524288_Stage2_64_sbcc,64,"[16, 4]",64,16,57.646278
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 2, 2]",256,256,57.822862
N=524288_Stage2_64_sbcc,64,"[8, 8]",128,16,58.068741
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 2, 2, 2, 2]",256,256,58.144832
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 2, 2, 2, 2, 2]",1024,1024,58.19035
N=524288_Stage2_64_sbcc,64,"[8, 8]",64,16,58.239536
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 2, 2]",512,512,58.314646
N=524288_Stage2_64_sbcc,64,"[16, 2, 2]",64,16,58.506546
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 4, 2, 2, 2]",512,512,58.623516
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 4, 4]",1024,1024,58.712232
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",256,32,58.807325
N=524288_Stage2_64_sbcc,64,"[8, 8]",512,16,58.897195
N=524288_Stage2_64_sbcc,64,"[8, 8]",1024,16,58.90415
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 2, 2, 2, 2]",256,256,59.133292
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",512,32,59.228787
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 2, 2, 2, 2]",512,512,59.302253
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 2, 2, 2, 2, 2]",512,512,59.697618
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",128,32,59.794976
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 4, 2, 2]",1024,1024,60.061137
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 2, 2, 2, 2]",1024,1024,60.74291
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",1024,32,60.964406
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",64,32,60.977104
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 2, 2, 2, 2, 2, 2]",1024,1024,61.356457
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 4]",512,512,61.436708
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 2, 2, 2, 2, 2, 2]",256,256,61.602427
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",64,32,61.893373
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 8, 2]",512,512,61.924282
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 2, 2, 2, 2, 2, 2]",512,512,61.972241
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",64,32,62.128211
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 4, 2]",1024,1024,62.180846
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 4, 2, 2]",512,512,62.481019
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 8]",1024,1024,62.489211
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",64,32,62.916339
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 16]",512,512,62.96652
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 2, 2, 2]",1024,1024,63.039777
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",64,32,63.506628
N=524288_Stage1_4096_sbrr,4096,"[16, 16, 2, 2, 2, 2]",512,512,64.234183
